,countryCode,population,numReferences
218,THA,68863514.0,25.0
113,KEN,48461567.0,25.0
216,SYR,18430453.0,25.0
176,PRT,10324611.0,26.0
42,CHL,17909754.0,26.0
64,ETH,102403196.0,27.0
106,ISR,8547100.0,27.0
0,AFG,34656032.0,27.0
114,KOR,51245707.0,28.0
91,GTM,16582469.0,29.0
147,NPL,28982771.0,29.0
162,NOR,5232929.0,30.0
102,IDN,261115456.0,30.0
170,PNG,8084991.0,31.0
86,GRC,10746740.0,31.0
202,VNM,92701100.0,32.0
112,JOR,9455802.0,33.0
156,NZL,4692700.0,36.0
87,GRL,56186.0,36.0
205,ZAF,55908865.0,38.0
54,CUB,11475982.0,39.0
225,TUR,79512426.0,42.0
2,ATA,0.0,45.0
173,PHL,103320222.0,52.0
82,DEU,82667685.0,53.0
207,ESP,46443959.0,54.0
169,PAN,4034119.0,57.0
24,BRA,207652865.0,63.0
107,ITA,60600590.0,63.0
172,PER,31773839.0,67.0
232,EGY,95688681.0,73.0
73,FRA,66896109.0,103.0
101,IND,1324171354.0,116.0
10,AUS,24127159.0,132.0
183,RUS,144342396.0,136.0
36,CAN,36286425.0,144.0
136,MEX,127540423.0,176.0
110,JPN,126994511.0,176.0
43,CHN,1378665000.0,194.0
233,GBR,65637239.0,244.0
238,USA,323127513.0,1069.0
